City,State,Percent with Heart Attack,High Blood Pressure,High Cholesterol,Diabetes,Depression,Obesity,Elevation
Fort Wayne,IN,4.5,30.8,24.9,11.5,16,32.1,810
Evansville,IN,4.5,35,25,12.9,24.7,29.9,387
Jefferson County,IN,4.6,34.6,28.4,12.4,21.6,30.2,45
Indianapolis,IN,5.1,32.5,26.9,13.2,21,31,715
Carmel,IN,5.1,32.5,26.9,13.2,21,31,223
Anderson,IN,5.1,32.5,26.9,13.2,21,31,879
South Bend,IN,5.4,28.7,23.4,15.3,18.6,26.2,692
Mishawaka,IN,5.4,28.7,23.4,15.3,18.6,26.2,719
Kansas City,KS,3.9,30.9,26.3,11.1,17.4,29,909
Wichita,KS,4.4,27.9,23,12.3,17.4,29.5,1302
Topeka,KS,5.1,33,27,12.2,19.9,33.5,945
Lexington,KY,3.1,31.1,23,13.6,22.3,31.2,978
Fayette,KY,3.1,31.1,23,13.6,22.3,31.2,1401
Louisville,KY,4.6,34.6,28.4,12.4,21.6,30.2,466
Baton Rouge,LA,3.8,32.8,25.6,13.1,19.3,32.8,56
Lafayette,LA,4,35.2,21.4,14.6,22.3,31.5,36
New Orleans,LA,4.2,34.6,23.6,13.7,19.9,29.4,2
Metairie,LA,4.2,34.6,23.6,13.7,19.9,29.4,3
Shreveport,LA,5.8,36.9,25.1,13,14.4,37.4,253
Bossier City,LA,5.8,36.9,25.1,13,14.4,37.4,174
Springfield,MA,2.8,30.2,21.6,10.2,19.1,28.9,1582
Boston,MA,3.2,25.8,24.7,9.2,17.5,22.2,141
Cambridge,MA,3.2,25.8,24.7,9.2,17.5,22.2,30'
Worcester,MA,3.6,28.5,26.8,9.8,17.8,31,480'
Barnstable Town,MA,5.1,32.4,26.2,8.7,20,23.6,37'
Salisbury,MD,3.7,40.1,27,13.5,17.5,29.4,26'
Baltimore,MD,4.4,32.5,26,12.5,18.2,29.2,480'
Columbia,MD,4.4,32.5,26,12.5,18.2,29.2,407'
Towson,MD,4.4,32.5,26,12.5,18.2,29.2,463'
Portland,ME,3.9,28.4,26.1,9.7,18.4,25.8,62'
South Portland,ME,3.9,28.4,26.1,9.7,18.4,25.8,23'
Ann Arbor,MI,1.3,22,18,7.4,18.3,28.9,840'
Kalamazoo,MI,2.2,25.8,23.1,11.4,21.3,28.9,784'
Portage,MI,2.2,25.8,23.1,11.4,21.3,28.9,879'
Grand Rapids,MI,2.5,26.5,20.6,10,17.4,30.5,640'
